Date,S&P,Dividend,Earnings,CPI,Date Fraction,Long Interest Rate,Real Price,Real Dividend,Real Total Return Price,Real Earnings,Real TR Scaled Earnings,CAPE,TR CAPE,Excess CAPE Yield,Monthly Bond Returns,Monthly Real Bond Returns,10 Year Real Stock Return,10 Year Real Bond Return,10 Year Excess Return
1871.01,4.44,0.26,0.4,12.46406116,1871.0416666666667,5.32,115.92176108994644,6.788211234996863,115.92176108994644,10.443401899995175,10.443401899995175,,,,1.0041769357097787,1.0,0.13060944596425683,0.09250367635209922,0.038105769612157614
1871.02,4.5,0.26,0.4,12.84464132,1871.125,5.323333333333333,114.00715391872076,6.587080004192756,114.55607725240348,10.133969237219624,10.182762422435866,,,,1.0041797523411402,0.974423686137471,0.1308584817139513,0.09463463434450947,0.03622384736944184
1871.03,4.61,0.26,0.4,13.0349719,1871.2083333333333,5.326666666666667,115.0886240115332,6.490898534273022,116.18626700749869,9.98599774503542,10.081237918221145,,,,1.0041825689642252,0.9642089857885741,0.1309508729293516,0.0961859956344644,0.0347648772948872
1871.04,4.74,0.26,0.4,12.55922645,1871.2916666666665,5.33,122.81658636706885,6.7367747796282496,124.55468597197648,10.364268891735769,10.510943963879873,,,,1.0041853855790357,1.004919008380089,0.12205603761969885,0.09097190623902263,0.031084131380676228
1871.05,4.86,0.26,0.4,12.27381157,1871.3749999999998,5.333333333333334,128.85414371731315,6.893431556893296,131.26026907814787,10.605279318297377,10.803314327419576,,,,1.0041882021855737,1.0325911467539233,0.1226380989022473,0.08948843719041011,0.0331496617118372
1871.06,4.82,0.26,0.4,12.08348099,1871.458333333333,5.336666666666667,129.8065318510507,7.002012091550453,132.824838258106,10.772326294693006,11.022808154199671,,,,1.0041910187838414,1.0532486237736511,0.12309279994112066,0.08772491101954372,0.03536788892157694
1871.07,4.73,0.26,0.4,12.08348099,1871.5416666666663,5.34,127.38275843474477,7.002012091550453,130.94177519843024,10.772326294693006,11.073300228197061,,,,1.0041938353738404,1.0576628085399415,0.12002181566560743,0.08658085614998545,0.03344095951562198
1871.08,4.79,0.26,0.4,11.8932314,1871.6249999999995,5.343333333333334,131.06212832956405,7.114019491792621,135.33334352578882,10.944645371988647,11.301323050170257,,,,1.004196651955573,1.0790882870419878,0.11193301028006641,0.08266861094518951,0.0292643993348769
1871.09,4.84,0.26,0.4,12.17864628,1871.7083333333328,5.346666666666668,129.32661675103682,6.947297594063963,134.13908167210178,10.68815014471379,11.08587451835552,,,,1.0041994685290414,1.0582215453478223,0.11002820544053638,0.08104790478423318,0.028980300656303193
1871.1,4.59,0.26,0.4,12.36889587,1871.791666666666,5.3500000000000005,120.76006101909246,6.840439186266675,125.8449983655629,10.523752594256424,10.96688438915581,,,,1.0042022850942474,1.046320345645266,0.11476525767910162,0.08165265212472672,0.033112605554374896
1871.11,4.64,0.26,0.4,12.36889587,1871.8749999999993,5.3533333333333335,122.0755300933745,6.840439186266675,127.80989848528662,10.523752594256424,11.018094697007468,,,,1.004205101651193,1.050717282037579,0.11526991934606379,0.08259325022901964,0.032676669117044144
1871.12,4.74,0.26,0.4,12.65439174,1871.9583333333326,5.3566666666666665,121.89296425242487,6.686111963213179,128.20210555554348,10.286326097251045,10.818743084855992,,,,1.0042079181998806,1.031330727999685,0.11213517395572437,0.08499917774721588,0.027135996208508484
1872.01,4.86,0.2633,0.4025,12.65439174,1872.0416666666658,5.36,124.97886208160021,6.7709741535155,132.04118161730085,10.350615635358865,10.93550938291432,,,,1.0030599998857486,1.0356704833401311,0.10768446401001142,0.0849309891814114,0.022753474828600018
1872.02,4.88,0.2667,0.405,12.65439174,1872.124999999999,5.378333333333333,125.49317838646274,6.858407925342134,133.18839126622893,10.414905173466682,11.053544766971866,,,,1.0030764483003818,1.038839634900825,0.10375207603565961,0.0839098290029967,0.019842247032662907
1872.03,5.04,0.27,0.4075,12.84464132,1872.2083333333323,5.3966666666666665,127.68801238896727,6.8404292351232465,136.1228022178134,10.32398116041749,11.005960695190266,,,,1.0030928953450977,1.0266013661348654,0.10166592292535204,0.08551458849815541,0.01615133442719663
1872.04,5.18,0.2733,0.41,13.13013719,1872.2916666666656,5.415000000000001,128.38138822218968,6.773481351568424,137.46372449182897,10.161461229941652,10.880333405723913,,,,1.0031093410217495,1.0073855331848895,0.10007866793276299,0.08688549793064304,0.013193170002119947
1872.05,5.18,0.2767,0.4125,13.13013719,1872.3749999999989,5.433333333333334,128.38138822218968,6.857747127621599,138.07563267340697,10.223421359392518,10.995405111540611,,,,1.0031257853321864,1.0105178383479383,0.09776066372272174,0.08587668085729061,0.01188398286543113
1872.06,5.13,0.28,0.415,13.0349719,1872.4583333333321,5.451666666666666,128.07042108007923,6.990198421524794,138.36768711184283,10.360472660474246,11.193487358950248,,,,1.003142228278255,1.0210771159167262,0.09647170562254859,0.08408634200547294,0.012385363617075651
1872.07,5.1,0.2833,0.4175,12.84464132,1872.5416666666654,5.470000000000001,129.2081077745502,7.177383712260798,140.24305307478704,10.577330391347981,11.480681305632075,,,,1.0031586698618002,1.0394633320598912,0.10250040147031392,0.08345252066981468,0.01904788080049924
1872.08,5.04,0.2867,0.42,12.93980661,1872.6249999999986,5.488333333333333,126.74893601056691,7.2101031655217325,138.22601363382574,10.562411334213909,11.518834469485478,,,,1.0031751100846626,1.0350778150153286,0.10684171794485064,0.08324921768267268,0.023592500262177962
1872.09,4.95,0.29,0.4225,13.0349719,1872.708333333332,5.506666666666667,123.5767220948133,7.239848365150677,135.42450791517876,10.547710118193661,11.55896052407334,,,,1.0031915489486818,1.0307834454158584,0.11370306084803916,0.08699311713523294,0.026709943712806217
